symbol,name
505807.NS,Rolcon Engineering Co. Ltd.
505827.NS,SNL Bearings Ltd.
505840.NS,Jaipan Industries Ltd
505850.NS,Mangal Credit and Fincorp Limited
505854.NS,TRF Ltd
505872.NS,WPIL Ltd
505890.NS,Kennametal India Limtied
505893.NS,HINDUSTAN HARDY LIMITED
505978.NS,Triton Valves Ltd.
506003.NS,Sudal Industries Limited
506022.NS,Prakash Industries Ltd.
506024.NS,HARIYANA VENTURES LIMITED
506042.NS,Prabhu Steel Industries Ltd.
506074.NS,Arshiya Limited
506076.NS,Grindwell Norton Ltd.
506079.NS,Lakshmi Precision Screws Ltd.
506105.NS,Stanrose Mafatlal Investments & Fin
506109.NS,Genesys International Corporation Ltd.
506120.NS,Alna Trading & Exports Ltd.
506122.NS,Kairosoft AI Solutions Limited
506128.NS,Parnax Lab Limited
506134.NS,GOURMET GATEWAY INDIA LIMITED
506146.NS,Visagar Polytex Ltd
506161.NS,Ishwarshakti Holdings & Traders Ltd
506162.NS,Terraform Magnum Limited
506166.NS,Apis India Ltd
506178.NS,Velox Shipping and Logistics Limited
506180.NS,EMERGENT INDUSTRIAL SOLUTIONS LIMITED
506184.NS,Kanani Industries Ltd
506186.NS,GALAXY CLOUD KITCHENS LIMITED
506190.NS,Sarvamangal Mercantile Co. Ltd.
506194.NS,Arihant Superstructures Limited
506196.NS,Viksit Engineering Ltd
506197.NS,Bliss GVS Pharma Limited
506222.NS,Styrenix Performance Materials Limited
506235.NS,Alembic  Ltd
506248.NS,Amines & Plasticizers Ltd
506260.NS,Anuh Pharma Ltd.
506261.NS,MODISON LIMITED
506285.NS,Bayer CropScience Limited.
506313.NS,Sashwat Technocrats Limited
506365.NS,Chemo Pharma Laboratories Ltd.
506390.NS,Heubach Colorants India Limited
506395.NS,Coromandel International Limited
506401.NS,Deepak Nitrite Limited
506405.NS,DMCC SPECIALITY CHEMICALS LIMITED
506414.NS,FERMENTA BIOTECH LIMITED
506480.NS,GOCL Corporation Limited
506520.NS,Jayshree Chemicals Ltd.
506525.NS,Kanoria Chemicals & Industries Ltd.
506528.NS,Keltech Energies Ltd.
506530.NS,Kemp & Company Limited
506532.NS,Nitta Gelatin India Ltd
506543.NS,M.P. Agro Industries Ltd.
506579.NS,Oriental Carbon & Chemicals Ltd.
506590.NS,PCBL Chemical Limited
506597.NS,Amal Ltd
506605.NS,Polychem Ltd
506618.NS,Punjab Chemicals and Crop Protection Ltd.
506640.NS,Gujchem Distillers India Ltd.
506642.NS,Sadhana Nitrochem Ltd.
506655.NS,Sudarshan Chemical Indus. Ltd.
506680.NS,Tecil Chemicals & Hydro Power Limit
506685.NS,Ultramarine & Pigments Ltd.
506687.NS,Transpek Industry Ltd.
506690.NS,Unichem Laboratories Ltd.
506734.NS,Mysore Petro Chemicals Ltd.
506767.NS,Alkyl Amines Chemicals Ltd.
506808.NS,TUTICORIN ALKALI CHEMICALS AND FERTILIZERS LIMITED
506820.NS,AstraZeneca Pharma India Ltd.
506852.NS,Primo Chemicals Limited
506854.NS,TANFAC Industries Ltd.
506858.NS,Gujarat Petrosynthese Ltd.
506863.NS,Swadeshi Industries Leasing Co. Ltd
506867.NS,Master Chemicals Ltd.
506879.NS,Gujarat Themis Biosyn Ltd.
506906.NS,Saptak Chem And Business Limited
506919.NS,Makers Laboratories Ltd.
506935.NS,Continental Chemicals Ltd.
506943.NS,J.B. Chemicals & Pharmaceuticals Lt
506945.NS,Indo Gulf Industries  Ltd.
506947.NS,Advance Petrochemicals Ltd.
506975.NS,Rajasthan Petro Synthetics Ltd.
506979.NS,Apt Packaging Ltd
506981.NS,Blue Chip Tex Industries Ltd.
507155.NS,Jagatjit Industries Ltd.
507180.NS,Kesar Enterprises Ltd.
507205.NS,Tilaknagar Industries Ltd
507265.NS,Emerald Leisures Limited
